,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hithadhoo,MV,-0.6,73.0833,78.03,83,100,13.22,heavy intensity rain
80,La Ronge,CA,55.1001,-105.2842,59.22,88,100,2.3,overcast clouds
81,Batticaloa,LK,7.7102,81.6924,86.41,62,100,7.81,overcast clouds
82,Pisco,PE,-13.7,-76.2167,53.65,87,0,5.75,mist
83,Lagoa,PT,39.05,-27.9833,72.14,71,0,3.58,clear sky
84,Diffa,NE,13.3154,12.6113,83.39,51,82,11.32,broken clouds
85,Pouebo,NC,-20.4,164.5667,70.81,77,96,10.18,overcast clouds
86,Codrington,AU,-38.2667,141.9667,49.89,77,67,15.61,broken clouds
87,Yellowknife,CA,62.456,-114.3525,48.72,93,20,8.05,few clouds
88,Boa Vista,BR,2.8197,-60.6733,75.18,88,20,5.75,few clouds
89,Tuatapere,NZ,-46.1333,167.6833,41.72,90,70,6.24,broken clouds
90,Porto Velho,BR,-8.7619,-63.9039,71.65,83,0,0.0,clear sky
91,Hambantota,LK,6.1241,81.1185,86.34,79,75,12.66,light rain
92,Padang,ID,-0.9492,100.3543,87.85,75,26,4.59,scattered clouds
93,Inhambane,MZ,-23.865,35.3833,76.98,65,20,11.5,few clouds
94,Sarangani,PH,5.4033,125.4636,82.09,74,100,10.96,overcast clouds
95,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,45,0,18.41,clear sky
96,Tahoua,NE,14.8888,5.2692,80.58,74,40,12.66,scattered clouds
97,Sayhat,SA,26.4852,50.0405,102.42,46,80,12.21,broken clouds
98,Sawakin,SD,19.1059,37.3321,100.15,36,17,8.52,few clouds
99,Balikpapan,ID,-1.2675,116.8289,79.79,89,20,5.75,few clouds
100,Cherskiy,RU,68.75,161.3,64.81,46,10,6.78,clear sky
101,Luderitz,NA,-26.6481,15.1594,59.52,51,0,11.68,clear sky
102,Acapulco,MX,16.8634,-99.8901,78.96,82,95,4.0,overcast clouds
103,Pital,CO,2.2665,-75.8044,65.53,83,99,4.07,overcast clouds
104,Alyangula,AU,-13.8483,136.4192,72.5,78,67,5.28,broken clouds
105,Lata,PT,40.1629,-8.3327,85.5,47,0,2.15,clear sky
106,Provideniya,RU,64.3833,-173.3,49.62,78,28,0.85,scattered clouds
107,Curup,ID,-3.4667,102.5333,75.52,92,81,1.14,broken clouds
108,Namibe,AO,-15.1961,12.1522,65.86,71,21,4.68,few clouds
109,Maniitsoq,GL,65.4167,-52.9,40.48,97,99,14.47,overcast clouds
110,Nanortalik,GL,60.1432,-45.2371,44.29,88,96,6.33,overcast clouds
111,Okha,RU,53.5739,142.9478,57.78,75,64,12.68,broken clouds
112,Soria,ES,41.6667,-2.6667,77.52,42,3,6.62,clear sky
113,Upernavik,GL,72.7868,-56.1549,45.84,79,100,10.74,overcast clouds
114,Omboue,GA,-1.5746,9.2618,78.71,67,70,7.99,broken clouds
115,Kurchum,KZ,48.5722,83.6542,84.7,25,100,3.94,overcast clouds
116,Beringovskiy,RU,63.05,179.3167,50.29,72,100,3.24,overcast clouds
117,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,40,6.91,scattered clouds
118,Pevek,RU,69.7008,170.3133,47.53,64,1,5.08,clear sky
119,Grindavik,IS,63.8424,-22.4338,49.95,87,75,10.36,broken clouds
120,Saint Anthony,US,45.0205,-93.218,68.79,74,0,8.05,clear sky
121,Guaruja,BR,-23.9931,-46.2564,58.93,75,9,3.2,clear sky
122,Lokachi,UA,50.737,24.6494,67.51,87,100,6.6,overcast clouds
123,Excelsior Springs,US,39.3392,-94.2261,72.3,97,100,0.0,mist
